Title,Title,Budget,Revenue,BD Ratio,IMDB score
Avatar,Avatar,237000000,2787965087,11.76356577,7.80
Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,300000000,961000000,3.203333333,7.10
Spectre,Spectre,245000000,880674609,3.594590241,6.80
The Dark Knight Rises,The Dark Knight Rises,250000000,1084939099,4.339756396,8.40
John Carter,John Carter,260000000,284139100,1.092842692,6.60
Spider-Man 3,Spider-Man 3,258000000,890871626,3.452990798,6.20
Tangled,Tangled,260000000,591794936,2.276134369,7.70
Avengers: Age of Ultron,Avengers: Age of Ultron,280000000,1405403694,5.019298907,7.30
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,250000000,933959197,3.735836788,7.60
Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,250000000,873260194,3.493040776,6.50
Superman Returns,Superman Returns,270000000,391081192,1.448448859,6.00
Quantum of Solace,Quantum of Solace,200000000,586090727,2.930453635,6.60
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,5.32829906,7.30
The Lone Ranger,The Lone Ranger,255000000,89289910,0.35015651,6.40
Man of Steel,Man of Steel,225000000,662845518,2.94598008,7.10
The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,225000000,419651413,1.865117391,6.50
The Avengers,The Avengers,220000000,1519557910,6.907081409,8.00
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,2.751878426,6.60
Men in Black 3,Men in Black 3,225000000,624026776,2.773452338,6.80
The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,250000000,956019788,3.824079152,7.40
The Amazing Spider-Man,The Amazing Spider-Man,215000000,752215857,3.498678405,6.90
Robin Hood,Robin Hood,200000000,310669540,1.5533477,6.60
The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,250000000,958400000,3.8336,7.80
The Golden Compass,The Golden Compass,180000000,372234864,2.067971467,6.10
King Kong,King Kong,207000000,550000000,2.657004831,7.20
Titanic,Titanic,200000000,1845034188,9.22517094,7.80
Captain America: Civil War,Captain America: Civil War,250000000,1153304495,4.61321798,7.80
Battleship,Battleship,209000000,303025485,1.449882703,5.80
Jurassic World,Jurassic World,150000000,1513528810,10.09019207,7.00
Skyfall,Skyfall,200000000,1108561013,5.542805065,7.70
Spider-Man 2,Spider-Man 2,200000000,783766341,3.918831705,7.30
Iron Man 3,Iron Man 3,200000000,1215439994,6.07719997,7.20
Alice in Wonderland,Alice in Wonderland,200000000,1025491110,5.12745555,6.40
X-Men: The Last Stand,X-Men: The Last Stand,210000000,459359555,2.187426452,6.70
Monsters University,Monsters University,200000000,743559607,3.717798035,7.30
Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,150000000,836297228,5.575314853,6.00
Transformers: Age of Extinction,Transformers: Age of Extinction,210000000,1091405097,5.197167129,5.60
Oz: The Great and Powerful,Oz: The Great and Powerful,200000000,491868548,2.45934274,6.30
The Amazing Spider-Man 2,The Amazing Spider-Man 2,200000000,705717432,3.52858716,6.60
TRON: Legacy,TRON: Legacy,170000000,400062763,2.353310371,6.80
Cars 2,Cars 2,200000000,559852396,2.79926198,6.10
Green Lantern,Green Lantern,200000000,219851172,1.09925586,5.50
Toy Story 3,Toy Story 3,200000000,1066969703,5.334848515,8.30
Terminator Salvation,Terminator Salvation,200000000,371353001,1.856765005,6.50
Furious 7,Furious 7,190000000,1506249360,7.927628211,7.20
World War Z,World War Z,200000000,531865000,2.659325,7.00
X-Men: Days of Future Past,X-Men: Days of Future Past,250000000,747862775,2.9914511,8.00
Star Trek Into Darkness,Star Trek Into Darkness,190000000,467365246,2.459817084,7.70
Jack the Giant Slayer,Jack the Giant Slayer,195000000,197687603,1.013782579,6.20
The Great Gatsby,The Great Gatsby,105000000,351040419,3.343242086,7.30
Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,150000000,335154643,2.234364287,6.60
Pacific Rim,Pacific Rim,180000000,407602906,2.264460589,6.90
Transformers: Dark of the Moon,Transformers: Dark of the Moon,195000000,1123746996,5.762805108,6.20
Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033,4.252086665,6.10
The Good Dinosaur,The Good Dinosaur,175000000,331926147,1.89672084,6.70
Brave,Brave,185000000,538983207,2.913422741,7.10
Star Trek Beyond,Star Trek Beyond,185000000,343471816,1.856604411,7.10
Rush Hour 3,Rush Hour 3,140000000,258022233,1.84301595,6.20
2012,2012,200000000,769653595,3.848267975,5.80
A Christmas Carol,A Christmas Carol,200000000,325233863,1.626169315,6.80
Jupiter Ascending,Jupiter Ascending,176000003,183987723,1.045384772,5.30
The Legend of Tarzan,The Legend of Tarzan,180000000,356743061,1.981905894,6.20
